HostElementId,HostCategory,HostElementName,ParameterId,ParameterTypeId,ParameterName,ParameterValue
3,"","<Solid fill>",-1140363,,"Category",""
3,"","<Solid fill>",-1140362,,"Category",""
3,"","<Solid fill>",-1013201,,"Design Option","-1"
3,"","<Solid fill>",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
3,"","<Solid fill>",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
26,"Materials","Glass",-1152385,autodesk.spec.reference:image-1.0.0,"Image","<None>"
26,"Materials","Glass",-1150465,autodesk.spec:spec.string-2.0.0,"Subclass",""
26,"Materials","Glass",-1150464,,"Class","Undefined"
26,"Materials","Glass",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
26,"Materials","Glass",-1140400,,"Material Type","Generic"
26,"Materials","Glass",-1140363,,"Category","Materials"
26,"Materials","Glass",-1140362,,"Category","Materials"
26,"Materials","Glass",-1140355,autodesk.spec:spec.string-2.0.0,"Name","Glass"
26,"Materials","Glass",-1140322,,"Behavior","Isotropic"
26,"Materials","Glass",-1140319,autodesk.spec.aec.structural:stress-2.0.0,"Minimum tensile strength","0.0 MPa"
26,"Materials","Glass",-1140318,autodesk.spec.aec.structural:stress-2.0.0,"Minimum yield stress","0.0 MPa"
26,"Materials","Glass",-1140312,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Z","0.00000 1/°C"
26,"Materials","Glass",-1140311,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Y","0.00000 1/°C"
26,"Materials","Glass",-1140310,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient X","0.00000 1/°C"
26,"Materials","Glass",-1140309,autodesk.spec.aec.structural:unitWeight-2.0.0,"Unit weight","0.0 kN/m³"
26,"Materials","Glass",-1140308,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus Z","0.0 MPa"
26,"Materials","Glass",-1140307,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus Y","0.0 MPa"
26,"Materials","Glass",-1140306,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus X","0.0 MPa"
26,"Materials","Glass",-1140305,autodesk.spec.aec:number-2.0.0,"Poisson ratio Z","0"
26,"Materials","Glass",-1140304,autodesk.spec.aec:number-2.0.0,"Poisson ratio Y","0"
26,"Materials","Glass",-1140303,autodesk.spec.aec:number-2.0.0,"Poisson ratio X","0"
